Date,FOODS,ENERGY,MAT_CHEM,AUTO,IT_SERV,BANKS,FIN_EX_BANKS,REAL_ESTATE
2010-03-31,14950.0,12300.0,11790.0,13040.0,9440.0,8850.0,9120.0,17100.0
2010-06-30,13280.0,10920.0,10180.0,10830.0,8680.0,7520.0,7050.0,14020.0
2010-09-30,13230.0,10610.0,10030.0,11140.0,8200.0,6880.0,6450.0,15180.0
2010-12-31,12950.0,12300.0,10960.0,12070.0,8690.0,7750.0,7530.0,17010.0
2011-03-31,12580.0,14230.0,10860.0,12100.0,8730.0,7130.0,7020.0,15050.0
2011-06-30,13200.0,13370.0,10700.0,12340.0,8440.0,7020.0,6690.0,15310.0
2011-09-30,13570.0,10900.0,9830.0,10180.0,7860.0,6480.0,5500.0,13640.0
2011-12-31,13050.0,11140.0,9300.0,9710.0,7670.0,6070.0,4910.0,12540.0
2012-03-31,15100.0,12430.0,10560.0,12820.0,8320.0,7470.0,6680.0,17050.0
2012-06-30,14760.0,10240.0,9250.0,11430.0,8000.0,6900.0,5830.0,16340.0
2012-09-30,15120.0,10270.0,8780.0,10390.0,8150.0,6690.0,5700.0,17100.0
2012-12-31,15500.0,11010.0,10040.0,13520.0,8280.0,7940.0,7690.0,22680.0
2013-03-31,19230.0,12460.0,11990.0,16500.0,10420.0,10150.0,9160.0,29400.0
2013-06-30,20810.0,11400.0,12950.0,19280.0,11910.0,10720.0,10750.0,31300.0
2013-09-30,20450.0,12150.0,13450.0,20010.0,12830.0,11060.0,11310.0,35450.0
2013-12-31,21520.0,13190.0,14110.0,21270.0,14600.0,11910.0,12790.0,38800.0
2014-03-31,21100.0,12510.0,13580.0,19680.0,13590.0,10470.0,10810.0,31300.0
2014-06-30,22820.0,14110.0,14300.0,20220.0,14010.0,10910.0,11540.0,32900.0
2014-09-30,22600.0,13500.0,15350.0,21590.0,14460.0,10800.0,10900.0,31800.0
2014-12-31,24390.0,12530.0,17200.0,23780.0,15010.0,11350.0,11980.0,32800.0
2015-03-31,27680.0,12510.0,19200.0,25880.0,17000.0,12360.0,13330.0,35600.0
2015-06-30,29430.0,13590.0,19690.0,25960.0,17820.0,14160.0,14810.0,34900.0
2015-09-30,26700.0,10160.0,17070.0,21690.0,15790.0,12160.0,12070.0,31400.0
2015-12-31,30650.0,11200.0,19520.0,24080.0,17580.0,12380.0,13170.0,31350.0
2016-03-31,30050.0,9300.0,17280.0,19700.0,16840.0,9040.0,10810.0,28700.0
2016-06-30,29700.0,8820.0,16440.0,16770.0,16230.0,7990.0,8880.0,25190.0
2016-09-30,28870.0,9070.0,17610.0,17980.0,16950.0,8710.0,9800.0,24280.0
2016-12-31,29540.0,11370.0,20060.0,21530.0,17940.0,11330.0,12600.0,28890.0
2017-03-31,30300.0,12140.0,21450.0,20800.0,18690.0,11110.0,12700.0,26360.0
2017-06-30,32650.0,11280.0,22940.0,20600.0,20280.0,11680.0,13160.0,28990.0
2017-09-30,32100.0,12460.0,24100.0,22250.0,20710.0,11210.0,12730.0,27770.0
2017-12-31,34950.0,15750.0,27020.0,23870.0,21750.0,12230.0,13810.0,29680.0
2018-03-31,32050.0,14130.0,25790.0,22440.0,21500.0,11140.0,13240.0,29220.0
2018-06-30,33750.0,14860.0,26180.0,22170.0,22090.0,10550.0,13320.0,30150.0
2018-09-30,31700.0,18050.0,27550.0,22740.0,24160.0,11150.0,14000.0,29750.0
2018-12-31,29160.0,11840.0,22460.0,19280.0,18900.0,8860.0,11440.0,26510.0
2019-03-31,30450.0,11610.0,23700.0,19760.0,21520.0,9150.0,11810.0,29940.0
2019-06-30,28080.0,11420.0,23570.0,19280.0,22110.0,8540.0,11670.0,28360.0
2019-09-30,28210.0,10880.0,23340.0,19710.0,22520.0,8370.0,11740.0,29850.0
2019-12-31,28670.0,11570.0,25120.0,20590.0,24180.0,8950.0,12810.0,30850.0
2020-03-31,26320.0,8210.0,21380.0,16170.0,20760.0,6580.0,10240.0,22680.0
2020-06-30,26980.0,8700.0,23160.0,17640.0,23970.0,6960.0,10860.0,24000.0
2020-09-30,26390.0,7730.0,23660.0,17170.0,26060.0,6240.0,10730.0,23960.0
2020-12-31,27080.0,7900.0,26760.0,19830.0,28860.0,6430.0,11870.0,26200.0
2021-03-31,27790.0,10460.0,28180.0,22650.0,30850.0,8200.0,13240.0,30400.0
2021-06-30,28070.0,10220.0,28000.0,24370.0,30100.0,7750.0,13050.0,30100.0
2021-09-30,29520.0,10550.0,28150.0,23950.0,30750.0,8210.0,14100.0,31050.0
2021-12-31,28125.0,10790.0,26960.0,24265.0,29435.0,7970.0,14010.0,27520.0
2022-03-31,27265.0,13065.0,25345.0,24575.0,29120.0,8838.0,14985.0,29725.0
2022-06-30,28860.0,14080.0,24110.0,23725.0,27440.0,8900.0,15020.0,31030.0
2022-09-30,29165.0,12805.0,23125.0,22015.0,27155.0,8400.0,14235.0,29810.0
2022-12-31,29275.0,12790.0,23880.0,21475.0,27165.0,10500.0,15570.0,28190.0
2023-03-31,30970.0,13290.0,26135.0,23485.0,27850.0,10410.0,15075.0,28025.0
2023-06-30,34090.0,14280.0,28430.0,28390.0,30840.0,12120.0,17880.0,31220.0
2023-09-30,34800.0,18140.0,27295.0,30300.0,30170.0,14335.0,19530.0,34000.0
2023-12-31,35350.0,17260.0,28810.0,28485.0,31580.0,13725.0,19650.0,33900.0
2024-03-31,38080.0,22280.0,31560.0,38810.0,34630.0,17445.0,26090.0,43950.0
2024-06-30,38370.0,23650.0,31870.0,34980.0,35330.0,19440.0,29060.0,40070.0
2024-09-30,38040.0,20880.0,31300.0,28715.0,34890.0,16700.0,25820.0,38350.0
2024-12-31,37930.0,21660.0,29570.0,32720.0,37650.0,20340.0,28740.0,38380.0
2025-03-31,37210.0,21660.0,27385.0,29685.0,35900.0,22005.0,29000.0,40300.0
2025-06-30,38940.0,20180.0,28690.0,29445.0,41330.0,21680.0,29565.0,42110.0
2025-09-30,40160.0,25300.0,30350.0,32400.0,43200.0,25185.0,32000.0,47780.0
2025-12-31,41500.0,29070.0,31010.0,36220.0,41910.0,27845.0,33370.0,52690.0
